,진료년도,상별구분,시도,시군구,성별,0~19,20~59,60~
296,2018,우울증,충남,금산군,남,0.0,105.0,224.0
297,2018,우울증,충남,금산군,여,24.0,189.0,479.0
298,2018,우울증,충남,부여군,남,0.0,95.0,249.0
299,2018,우울증,충남,부여군,여,0.0,153.0,471.0
300,2018,우울증,충남,서천군,남,0.0,76.0,268.0
301,2018,우울증,충남,서천군,여,0.0,194.0,762.0
302,2018,우울증,충남,예산군,남,0.0,26.0,69.0
303,2018,우울증,충남,예산군,여,0.0,60.0,106.0
304,2018,우울증,충남,청양군,남,0.0,0.0,32.0
305,2018,우울증,충남,청양군,여,0.0,0.0,92.0
306,2018,우울증,충남,홍성군,남,15.0,308.0,543.0
307,2018,우울증,충남,홍성군,여,36.0,556.0,1006.0
308,2018,우울증,충남,태안군,남,0.0,26.0,117.0
309,2018,우울증,충남,태안군,여,0.0,90.0,234.0
310,2018,우울증,충남,천안서북구,남,110.0,1473.0,483.0
311,2018,우울증,충남,천안서북구,여,226.0,2717.0,1093.0
312,2018,우울증,충남,천안동남구,남,135.0,1377.0,712.0
313,2018,우울증,충남,천안동남구,여,218.0,2412.0,1628.0
314,2018,우울증,충남,공주시,남,58.0,503.0,481.0
315,2018,우울증,충남,공주시,여,93.0,718.0,1079.0
316,2018,우울증,충남,보령시,남,14.0,154.0,239.0
317,2018,우울증,충남,보령시,여,17.0,277.0,509.0
318,2018,우울증,충남,아산시,남,128.0,757.0,566.0
319,2018,우울증,충남,아산시,여,187.0,1456.0,1266.0
320,2018,우울증,충남,서산시,남,12.0,191.0,191.0
321,2018,우울증,충남,서산시,여,16.0,319.0,332.0
322,2018,우울증,충남,논산시,남,33.0,499.0,691.0
323,2018,우울증,충남,논산시,여,33.0,926.0,1841.0
324,2018,우울증,충남,계룡시,남,0.0,0.0,0.0
325,2018,우울증,충남,계룡시,여,0.0,0.0,0.0
326,2018,우울증,충남,당진시,남,30.0,509.0,367.0
327,2018,우울증,충남,당진시,여,80.0,926.0,804.0
328,2018,우울증,전북,고창군,남,0.0,57.0,175.0
329,2018,우울증,전북,고창군,여,0.0,111.0,357.0
330,2018,우울증,전북,무주군,남,0.0,0.0,0.0
331,2018,우울증,전북,무주군,여,0.0,0.0,18.0
332,2018,우울증,전북,부안군,남,0.0,110.0,154.0
333,2018,우울증,전북,부안군,여,0.0,226.0,405.0
334,2018,우울증,전북,순창군,남,0.0,0.0,70.0
335,2018,우울증,전북,순창군,여,0.0,41.0,155.0
336,2018,우울증,전북,완주군,남,0.0,123.0,107.0
337,2018,우울증,전북,완주군,여,11.0,144.0,205.0
338,2018,우울증,전북,임실군,남,0.0,0.0,0.0
339,2018,우울증,전북,임실군,여,0.0,0.0,17.0
340,2018,우울증,전북,장수군,남,0.0,0.0,0.0
341,2018,우울증,전북,장수군,여,0.0,0.0,64.0
342,2018,우울증,전북,진안군,남,0.0,0.0,39.0
343,2018,우울증,전북,진안군,여,0.0,0.0,94.0
344,2018,우울증,전북,군산시,남,25.0,518.0,529.0
345,2018,우울증,전북,군산시,여,49.0,857.0,1072.0
346,2018,우울증,전북,남원시,남,11.0,256.0,401.0
347,2018,우울증,전북,남원시,여,21.0,473.0,959.0
348,2018,우울증,전북,익산시,남,54.0,587.0,519.0
349,2018,우울증,전북,익산시,여,89.0,1099.0,1211.0
350,2018,우울증,전북,전주완산구,남,139.0,1215.0,1009.0
351,2018,우울증,전북,전주완산구,여,243.0,2351.0,2264.0
352,2018,우울증,전북,전주덕진구,남,94.0,1054.0,953.0
353,2018,우울증,전북,전주덕진구,여,159.0,1883.0,2523.0
354,2018,우울증,전북,정읍시,남,0.0,126.0,237.0
355,2018,우울증,전북,정읍시,여,15.0,249.0,420.0
356,2018,우울증,전북,김제시,남,0.0,173.0,280.0
357,2018,우울증,전북,김제시,여,0.0,306.0,683.0
358,2018,우울증,전남,강진군,남,0.0,32.0,113.0
359,2018,우울증,전남,강진군,여,0.0,63.0,169.0
360,2018,우울증,전남,고흥군,남,0.0,121.0,443.0
361,2018,우울증,전남,고흥군,여,18.0,271.0,1017.0
362,2018,우울증,전남,곡성군,남,0.0,0.0,0.0
363,2018,우울증,전남,곡성군,여,0.0,10.0,43.0
364,2018,우울증,전남,구례군,남,0.0,0.0,12.0
365,2018,우울증,전남,구례군,여,0.0,0.0,47.0
366,2018,우울증,전남,담양군,남,0.0,36.0,55.0
367,2018,우울증,전남,담양군,여,0.0,16.0,136.0
368,2018,우울증,전남,무안군,남,12.0,144.0,132.0
369,2018,우울증,전남,무안군,여,17.0,204.0,222.0
370,2018,우울증,전남,보성군,남,0.0,15.0,72.0
371,2018,우울증,전남,보성군,여,0.0,40.0,149.0
372,2018,우울증,전남,신안군,남,0.0,0.0,0.0
373,2018,우울증,전남,신안군,여,0.0,0.0,18.0
374,2018,우울증,전남,영광군,남,0.0,77.0,143.0
375,2018,우울증,전남,영광군,여,14.0,117.0,246.0
376,2018,우울증,전남,영암군,남,0.0,0.0,21.0
377,2018,우울증,전남,영암군,여,0.0,22.0,83.0
378,2018,우울증,전남,완도군,남,0.0,0.0,10.0
379,2018,우울증,전남,완도군,여,0.0,0.0,30.0
380,2018,우울증,전남,장성군,남,0.0,10.0,72.0
381,2018,우울증,전남,장성군,여,0.0,68.0,126.0
382,2018,우울증,전남,장흥군,남,0.0,0.0,49.0
383,2018,우울증,전남,장흥군,여,0.0,23.0,91.0
384,2018,우울증,전남,진도군,남,0.0,0.0,11.0
385,2018,우울증,전남,진도군,여,0.0,0.0,38.0
386,2018,우울증,전남,함평군,남,0.0,0.0,16.0
387,2018,우울증,전남,함평군,여,0.0,14.0,34.0
388,2018,우울증,전남,해남군,남,12.0,230.0,317.0
389,2018,우울증,전남,해남군,여,26.0,373.0,533.0
390,2018,우울증,전남,화순군,남,0.0,74.0,146.0
391,2018,우울증,전남,화순군,여,0.0,151.0,314.0
392,2018,우울증,전남,나주시,남,39.0,163.0,210.0
393,2018,우울증,전남,나주시,여,62.0,201.0,370.0
394,2018,우울증,전남,목포시,남,74.0,985.0,745.0
395,2018,우울증,전남,목포시,여,144.0,1534.0,1437.0
396,2018,우울증,전남,순천시,남,73.0,499.0,431.0
397,2018,우울증,전남,순천시,여,120.0,947.0,1006.0
398,2018,우울증,전남,여수시,남,39.0,507.0,359.0
399,2018,우울증,전남,여수시,여,101.0,927.0,957.0
400,2018,우울증,전남,광양시,남,23.0,191.0,58.0
401,2018,우울증,전남,광양시,여,54.0,298.0,148.0
402,2018,우울증,경북,고령군,남,0.0,0.0,0.0
403,2018,우울증,경북,고령군,여,0.0,0.0,12.0
404,2018,우울증,경북,군위군,남,0.0,0.0,10.0
405,2018,우울증,경북,군위군,여,0.0,0.0,56.0
406,2018,우울증,경북,봉화군,남,0.0,0.0,45.0
407,2018,우울증,경북,봉화군,여,0.0,11.0,72.0
408,2018,우울증,경북,성주군,남,0.0,0.0,10.0
409,2018,우울증,경북,성주군,여,0.0,14.0,46.0
410,2018,우울증,경북,영덕군,남,0.0,10.0,26.0
411,2018,우울증,경북,영덕군,여,0.0,30.0,144.0
412,2018,우울증,경북,영양군,남,0.0,0.0,0.0
413,2018,우울증,경북,영양군,여,0.0,0.0,0.0
414,2018,우울증,경북,예천군,남,0.0,10.0,54.0
415,2018,우울증,경북,예천군,여,0.0,0.0,70.0
416,2018,우울증,경북,울릉군,남,0.0,0.0,0.0
417,2018,우울증,경북,울릉군,여,0.0,0.0,0.0
418,2018,우울증,경북,울진군,남,0.0,0.0,39.0
419,2018,우울증,경북,울진군,여,0.0,34.0,86.0
420,2018,우울증,경북,의성군,남,0.0,34.0,61.0
421,2018,우울증,경북,의성군,여,0.0,0.0,88.0
422,2018,우울증,경북,청도군,남,0.0,85.0,131.0
423,2018,우울증,경북,청도군,여,0.0,21.0,137.0
424,2018,우울증,경북,청송군,남,0.0,58.0,12.0
425,2018,우울증,경북,청송군,여,0.0,0.0,28.0
426,2018,우울증,경북,칠곡군,남,0.0,73.0,121.0
427,2018,우울증,경북,칠곡군,여,0.0,99.0,207.0
428,2018,우울증,경북,경주시,남,50.0,973.0,626.0
429,2018,우울증,경북,경주시,여,85.0,1295.0,1525.0
430,2018,우울증,경북,구미시,남,121.0,1349.0,535.0
431,2018,우울증,경북,구미시,여,223.0,2315.0,1073.0
432,2018,우울증,경북,김천시,남,41.0,518.0,553.0
433,2018,우울증,경북,김천시,여,36.0,797.0,1188.0
434,2018,우울증,경북,안동시,남,40.0,438.0,458.0
435,2018,우울증,경북,안동시,여,72.0,723.0,917.0
436,2018,우울증,경북,영주시,남,14.0,192.0,266.0
437,2018,우울증,경북,영주시,여,21.0,326.0,595.0
438,2018,우울증,경북,영천시,남,0.0,225.0,284.0
439,2018,우울증,경북,영천시,여,28.0,349.0,645.0
440,2018,우울증,경북,포항남구,남,37.0,398.0,376.0
441,2018,우울증,경북,포항남구,여,83.0,813.0,955.0
442,2018,우울증,경북,포항북구,남,67.0,864.0,772.0
