행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,oldAgePercent,childAgePercent,adultAgePercent
창원시 마산합포구 ,179394.0,179394.0,11586.0,14767.0,17130.0,19625.0,26919.0,28919.0,32253.0,18618.0,8385.0,1167.0,25.0,33.695664292005304,14.690011929050025,51.61432377894467
창원시 마산회원구 ,179818.0,179818.0,9870.0,16907.0,18182.0,18346.0,27505.0,32545.0,32025.0,17019.0,6653.0,752.0,14.0,31.40008230544217,14.89116773626667,53.70874995829116
창원시 진해구 ,191225.0,191225.0,14780.0,21524.0,19047.0,22759.0,35298.0,30871.0,26307.0,13455.0,6311.0,861.0,12.0,24.55013727284612,18.98496535494836,56.46489737220551
진주시 ,341074.0,341074.0,23456.0,33860.0,40929.0,38981.0,50492.0,57815.0,51546.0,27510.0,14343.0,2091.0,51.0,28.01180975389505,16.804564405378304,55.18362584072665
통영시 ,120551.0,120551.0,6657.0,12388.0,9231.0,10226.0,19387.0,21778.0,22314.0,12196.0,5637.0,724.0,13.0,33.91427694502742,15.798292838715565,50.28743021625702
사천시 ,109030.0,109030.0,6459.0,10113.0,9646.0,10399.0,16593.0,18971.0,18267.0,11125.0,6417.0,1024.0,16.0,33.79712005869944,15.199486379895442,51.00339356140512
김해시 ,533659.0,533659.0,39679.0,59421.0,60080.0,63334.0,91804.0,102716.0,71142.0,29877.0,13817.0,1754.0,35.0,21.853842997119884,18.56991074824935,59.576246254630775
밀양시 ,102084.0,102084.0,4468.0,7302.0,7587.0,7855.0,12018.0,17551.0,22777.0,13608.0,7796.0,1107.0,15.0,44.378159163042206,11.529720622232672,44.09212021472513
거제시 ,234038.0,234038.0,18932.0,28353.0,20126.0,26157.0,46089.0,43042.0,31511.0,13042.0,5804.0,960.0,22.0,21.93618130389082,20.203983968415383,57.859834727693794
양산시 ,355122.0,355122.0,28534.0,35755.0,34950.0,44329.0,61629.0,61518.0,51255.0,24491.0,11226.0,1395.0,40.0,24.894824877084496,18.10335602975879,57.00181909315671
의령군 ,25475.0,25475.0,838.0,1348.0,1461.0,1500.0,2421.0,4289.0,6097.0,3815.0,3125.0,564.0,17.0,53.456329735034345,8.580961727183514,37.96270853778214
함안군 ,60203.0,60203.0,2795.0,5523.0,4355.0,4336.0,8112.0,10841.0,12185.0,6926.0,4403.0,720.0,7.0,40.26543527731176,13.816587213261796,45.91797750942644
창녕군 ,57083.0,57083.0,2224.0,3771.0,3452.0,3932.0,6209.0,9943.0,13234.0,8098.0,5366.0,841.0,13.0,48.26655922078377,10.502251108035669,41.231189671180566
고성군 ,49468.0,49468.0,1733.0,3935.0,3268.0,2950.0,5657.0,8766.0,10786.0,7033.0,4519.0,812.0,9.0,46.81612355462117,11.457912185655374,41.725964259723455
남해군 ,40780.0,40780.0,1326.0,2587.0,2592.0,2156.0,3901.0,6689.0,8944.0,6588.0,4923.0,1052.0,22.0,52.79303580186367,9.595389897008337,37.611574301128
하동군 ,41606.0,41606.0,1355.0,2397.0,2490.0,2257.0,3860.0,7554.0,9884.0,6319.0,4609.0,865.0,16.0,52.13911455078595,9.017930106234678,38.84295534297938
산청군 ,33752.0,33752.0,965.0,1895.0,1980.0,1749.0,2952.0,6079.0,8234.0,5260.0,3950.0,671.0,17.0,53.72126096231335,8.473571936477839,37.805167101208816
함양군 ,36945.0,36945.0,1376.0,2686.0,2413.0,2156.0,3666.0,6467.0,8064.0,5278.0,4122.0,699.0,18.0,49.21098930843145,10.994721883881445,39.7942888076871
거창군 ,60047.0,60047.0,2984.0,5660.0,5098.0,4442.0,7015.0,10191.0,11386.0,7093.0,5224.0,930.0,24.0,41.06283411327793,14.395390277615869,44.5417756091062
합천군 ,41203.0,41203.0,1163.0,2155.0,2328.0,2071.0,3554.0,6843.0,9856.0,6818.0,5503.0,880.0,32.0,56.03718175860981,8.052811688469285,35.910006552920905
경상북도  ,2554324.0,2554324.0,151926.0,217311.0,248255.0,259154.0,357366.0,444707.0,449427.0,252946.0,150000.0,22667.0,565.0,34.27932400118387,14.45537057945664,51.265305419359485
포항시 ,493033.0,493033.0,32160.0,45811.0,50035.0,53799.0,73901.0,86723.0,86270.0,43074.0,18642.0,2555.0,63.0,30.54643401151647,15.814560080156904,53.639005908326624
포항시 남구 ,226278.0,226278.0,13990.0,20787.0,23786.0,24339.0,34280.0,39930.0,39512.0,20208.0,8368.0,1054.0,24.0,30.566824879130984,15.369147685590292,54.06402743527872
포항시 북구 ,266755.0,266755.0,18170.0,25024.0,26249.0,29460.0,39621.0,46793.0,46758.0,22866.0,10274.0,1501.0,39.0,30.529137223294786,16.192386272047386,53.27847650465783
경주시 ,247489.0,247489.0,13413.0,19526.0,22860.0,23061.0,33201.0,46090.0,46057.0,26218.0,14827.0,2186.0,50.0,36.09776596131545,13.309278392170963,50.59295564651358
김천시 ,137515.0,137515.0,8635.0,12176.0,12473.0,13607.0,18464.0,22980.0,24452.0,14342.0,8902.0,1441.0,43.0,35.763371268588884,15.133621786714176,49.10300694469694
안동시 ,152935.0,152935.0,8460.0,12906.0,14966.0,13941.0,20258.0,25529.0,27189.0,17124.0,10850.0,1677.0,35.0,37.1890018635368,13.970641122045311,48.84035701441789
구미시 ,405506.0,405506.0,32574.0,43706.0,49373.0,58854.0,71465.0,71204.0,49085.0,18473.0,9337.0,1394.0,41.0,19.31660690593974,18.811065680902377,61.87232741315788
영주시 ,100199.0,100199.0,4901.0,8784.0,8941.0,7577.0,12347.0,17184.0,19221.0,12323.0,7708.0,1181.0,32.0,40.38463457719139,13.65782093633669,45.95754448647192
영천시 ,100212.0,100212.0,4975.0,6291.0,8239.0,8640.0,11548.0,17716.0,20593.0,13196.0,7900.0,1099.0,15.0,42.71244960683352,11.242166606793598,46.04538378637289
