진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,우울증,서울,성동구,남,10~19세,94,684,50673940
2018,우울증,서울,성동구,남,20~29세,292,2117,148586170
2018,우울증,서울,성동구,남,30~39세,195,1217,79083430
2018,우울증,서울,성동구,남,40~49세,180,1358,111103780
2018,우울증,서울,성동구,남,50~59세,153,917,48154560
2018,우울증,서울,성동구,남,60~69세,127,867,42779710
2018,우울증,서울,성동구,남,70~79세,116,974,62130260
2018,우울증,서울,성동구,남,80~89세,42,209,8520090
2018,우울증,서울,성동구,남,90~99세,0,0,0
2018,우울증,서울,성동구,남,100세 이상,0,0,0
2018,우울증,서울,성동구,여,0~9세,0,0,0
2018,우울증,서울,성동구,여,10~19세,174,1012,86323550
2018,우울증,서울,성동구,여,20~29세,563,3806,259273400
2018,우울증,서울,성동구,여,30~39세,361,2599,175559770
2018,우울증,서울,성동구,여,40~49세,317,2064,124331720
2018,우울증,서울,성동구,여,50~59세,307,2065,138694920
2018,우울증,서울,성동구,여,60~69세,293,1675,89248400
2018,우울증,서울,성동구,여,70~79세,307,1913,102773810
2018,우울증,서울,성동구,여,80~89세,136,772,37268350
2018,우울증,서울,성동구,여,90~99세,0,0,0
2018,우울증,서울,성동구,여,100세 이상,0,0,0
2018,우울증,서울,성북구,남,0~9세,0,0,0
2018,우울증,서울,성북구,남,10~19세,150,912,58339110
2018,우울증,서울,성북구,남,20~29세,384,2037,150750590
2018,우울증,서울,성북구,남,30~39세,157,1111,91458660
2018,우울증,서울,성북구,남,40~49세,202,1049,75948170
2018,우울증,서울,성북구,남,50~59세,206,1086,78621640
2018,우울증,서울,성북구,남,60~69세,225,1059,89397710
2018,우울증,서울,성북구,남,70~79세,280,1593,89223430
2018,우울증,서울,성북구,남,80~89세,129,654,42027410
2018,우울증,서울,성북구,남,90~99세,0,0,0
2018,우울증,서울,성북구,남,100세 이상,0,0,0
2018,우울증,서울,성북구,여,0~9세,0,0,0
2018,우울증,서울,성북구,여,10~19세,225,1520,97627580
2018,우울증,서울,성북구,여,20~29세,549,3317,217367480
2018,우울증,서울,성북구,여,30~39세,351,2422,173347590
2018,우울증,서울,성북구,여,40~49세,428,2873,213301890
2018,우울증,서울,성북구,여,50~59세,568,4066,336165810
2018,우울증,서울,성북구,여,60~69세,730,4456,335214150
2018,우울증,서울,성북구,여,70~79세,768,5144,401190680
2018,우울증,서울,성북구,여,80~89세,354,1896,135310590
2018,우울증,서울,성북구,여,90~99세,22,92,5739690
2018,우울증,서울,성북구,여,100세 이상,0,0,0
2018,우울증,서울,영등포구,남,0~9세,0,0,0
2018,우울증,서울,영등포구,남,10~19세,102,699,52808110
2018,우울증,서울,영등포구,남,20~29세,444,3160,235999310
2018,우울증,서울,영등포구,남,30~39세,362,2208,171796490
2018,우울증,서울,영등포구,남,40~49세,371,2826,221902860
2018,우울증,서울,영등포구,남,50~59세,386,2766,210976100
2018,우울증,서울,영등포구,남,60~69세,349,2447,168242080
2018,우울증,서울,영등포구,남,70~79세,271,1841,128373040
2018,우울증,서울,영등포구,남,80~89세,101,527,34142030
2018,우울증,서울,영등포구,남,90~99세,0,0,0
2018,우울증,서울,영등포구,남,100세 이상,0,0,0
2018,우울증,서울,영등포구,여,0~9세,0,0,0
2018,우울증,서울,영등포구,여,10~19세,156,1056,78408980
2018,우울증,서울,영등포구,여,20~29세,663,4695,356544830
2018,우울증,서울,영등포구,여,30~39세,569,3944,300805700
2018,우울증,서울,영등포구,여,40~49세,488,3531,249567210
2018,우울증,서울,영등포구,여,50~59세,698,4185,283512000
2018,우울증,서울,영등포구,여,60~69세,853,5359,360812140
